epoch,step,loss,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
10.72,22750,0.0985,2e-05,,,,
10.74,22800,0.0863,2e-05,,,,
10.77,22850,0.0872,2e-05,,,,
10.79,22900,0.0977,2e-05,,,,
10.82,22950,0.0999,2e-05,,,,
10.84,23000,0.0905,2e-05,,,,
10.86,23050,0.099,2e-05,,,,
10.89,23100,0.0932,2e-05,,,,
10.91,23150,0.0906,2e-05,,,,
10.93,23200,0.0959,2e-05,,,,
10.96,23250,0.0933,2e-05,,,,
10.98,23300,0.0998,2e-05,,,,
11.0,23350,0.09,2e-05,,,,
11.03,23400,0.0768,2e-05,,,,
11.05,23450,0.0825,2e-05,,,,
11.07,23500,0.0741,2e-05,,,,
11.1,23550,0.0751,2e-05,,,,
11.12,23600,0.0795,2e-05,,,,
11.15,23650,0.0801,2e-05,,,,
11.17,23700,0.0731,2e-05,,,,
11.19,23750,0.0748,2e-05,,,,
11.22,23800,0.0837,2e-05,,,,
11.24,23850,0.0791,2e-05,,,,
11.26,23900,0.0842,2e-05,,,,
11.29,23950,0.0793,2e-05,,,,
11.31,24000,0.0825,2e-05,,,,
11.33,24050,0.0749,2e-05,,,,
11.36,24100,0.0792,2e-05,,,,
11.38,24150,0.0912,2e-05,,,,
11.4,24200,0.0816,2e-05,,,,
11.43,24250,0.0877,2e-05,,,,
11.45,24300,0.0793,2e-05,,,,
11.48,24350,0.0818,2e-05,,,,
11.5,24400,0.0842,2e-05,,,,
11.52,24450,0.0939,2e-05,,,,
11.55,24500,0.0806,2e-05,,,,
11.57,24550,0.0844,2e-05,,,,
11.59,24600,0.0846,2e-05,,,,
11.62,24650,0.0842,2e-05,,,,
11.64,24700,0.093,2e-05,,,,
11.66,24750,0.0885,2e-05,,,,
11.69,24800,0.08,2e-05,,,,
11.71,24850,0.0868,2e-05,,,,
11.73,24900,0.0782,2e-05,,,,
11.76,24950,0.0888,2e-05,,,,
11.78,25000,0.0803,2e-05,,,,
11.78,25000,,,0.24693,184.1118,158.024,39.509
11.81,25050,0.0876,2e-05,,,,
11.83,25100,0.0829,2e-05,,,,
11.85,25150,0.0947,2e-05,,,,
11.88,25200,0.0876,2e-05,,,,
11.9,25250,0.0898,2e-05,,,,
11.92,25300,0.086,2e-05,,,,
11.95,25350,0.0851,2e-05,,,,
11.97,25400,0.0906,2e-05,,,,
11.99,25450,0.0878,2e-05,,,,
12.02,25500,0.075,2e-05,,,,
12.04,25550,0.0706,2e-05,,,,
12.06,25600,0.0708,2e-05,,,,
12.09,25650,0.0707,2e-05,,,,
12.11,25700,0.0693,2e-05,,,,
12.13,25750,0.0767,2e-05,,,,
12.16,25800,0.0699,2e-05,,,,
12.18,25850,0.0655,2e-05,,,,
12.21,25900,0.0658,2e-05,,,,
12.23,25950,0.0753,2e-05,,,,
12.25,26000,0.0771,2e-05,,,,
12.28,26050,0.0755,2e-05,,,,
12.3,26100,0.0718,2e-05,,,,
12.32,26150,0.0721,2e-05,,,,
12.35,26200,0.0799,2e-05,,,,
12.37,26250,0.0713,2e-05,,,,
12.39,26300,0.0723,2e-05,,,,
12.42,26350,0.0713,2e-05,,,,
12.44,26400,0.0778,2e-05,,,,
12.46,26450,0.0756,2e-05,,,,
12.49,26500,0.0748,2e-05,,,,
12.51,26550,0.0744,2e-05,,,,
12.54,26600,0.0802,2e-05,,,,
